14 Kambarage,7
A,42
ADP,9
ADP Simbo,25
ADP Simbu,1
ADRA,8
AIC,1
AIC kahunda,1
AMREF,3
AMRSF,1
AUWASA Pipe scheme,4
AUWASA pipe scheme,6
Adra,1
African Barrick Gold,1
Akheri gravity water supply,13
Alpha crust,2
Amani Water Supply,11
Amani spring,25
Anglic,24
Araa,2
Arashi water scheme,1
Arisi/himo,3
Arusha chini water supply,4
Atta,5
B,37
BADIMKA,3
BASSONYAGWE AND NG'WANDKW,17
BFFS,8
BFFS water supplying,1
BL Bingati A,3
BL Bingati B,1
BL Bondeni,2
BL Bonifas Kingu,1
BL Cosmas Woiso,1
BL Dahani Sec,4
BL Dispensary,1
BL Eligudi,1
BL Embokoi,1
BL Embukoi,2
BL Erasto Laizer,1
BL Esilalei,1
BL K puchini Sisters,1
BL Kalimaji,4
BL Kandash,2
BL Kandashi,1
BL Kashashi,24
BL Kashofu,1
BL Kiboshoni,3
BL Kijiweni,1
BL Kikafu,5
BL Kilari sister,3
BL Kilari sisters,3
BL Kilimasimba,1
BL Kilingi,5
BL Kimaroroni,3
BL Kirishi,1
BL Kiruwa,2
BL Kisau,1
BL Kitahemo,7
BL Kitahemu,5
BL Kiungu Chelwa,1
BL Kiyengia,11
BL Kosata,2
BL Kyaboo,5
BL Kyengia,8
BL Kyongwa,1
BL Lake Sirwa,2
BL Lake sirwa,2
BL Laktore,1
BL Lamaungu,1
BL Lang'ata,3
BL Lekirimuni,3
BL Lekirumuni,8
BL Lekrimuni,2
BL Lengong'u,9
BL Losei,1
BL Mahakamani,1
BL Majengo,1
BL Makiwaru,25
BL Makiwaru B,2
BL Manio,2
BL Manyinguni,1
BL Matadi,2
BL Matadi A,2
BL Matadi B,3
BL Mese Tank,2
BL Mitimirefu,3
BL Mji Mwema,2
BL Mkombozi,7
BL Molomo,5
BL Moniko,4
BL Moniko Shule,1
BL Moniko shule,1
BL Motomati,1
BL Msumbiji,5
BL Munge,3
BL Mwakikoti,2
BL Mwangaza,3
BL Mwinuko A,3
BL Mwinuko B,9
BL Namwai,1
BL Ndarakwai,1
BL Ndarara,1
BL Ndinyika,2
BL Neema,1
BL Ngarenairobi,4
BL Nkenku kijijini,1
BL Nkini,1
BL Nkwamanyire,2
BL Nshere,1
BL Nshere Juu,1
BL Nsherehehe,1
BL Nyati,2
BL Olkolili,7
BL Orkugu,1
BL Ormelili,1
BL RC,1
BL Rehema Rajabu,2
BL Rosyline,2
BL Sabuko,7
BL Sanya Hoi,3
BL Sanya juu service line,1
BL Serengeti,2
BL Shengai,2
BL Sia Eki,1
BL Siaseki,1
BL Siha,3
BL Siha Sec,1
BL Silasi,4
BL Somali,1
BL Tindigani,6
BL Tingatinga,4
BL Tobiko,2
BL Zahanati,4
BL deotrfe,1
BL kikwe water supply,3
BL lawate branch line,1
BL mese Tank,1
BL oleve water supply,1
BL sangarini,1
BLACK,2
BLUDER,4
BRA,1
BRUDER,53
BSF,2
BULENDA BUFWE GRAVITY SCHEME,7
BUUDER,5
BUWADA,1
BUWASA,14
Baba,9
Baga 2 streem,15
Bagamoyo Wate,67
Bagamoyo wate,229
Bahi,4
Balangai forest,9
Ballaa  pipe line,4
Ballaa pipe line,24
Bamb,6
Bang,4
Bangata water project,33
Bank,4
Bany,1
Be,12
Bendera Kiurio water supply,3
Bere,11
Bethania water suppl,1
Bili,1
Bl Aziz water supply,1
Boma,2
Bomala,48
Bomani water supply,2
Bombomajimoto water,6
Bonde la mto Mara,1
Bore hole,5
Borehole,546
Borehole drilling project,1
Borehole pump pumped scheme,1
Borehole pumped scheme,2
Boza water supply,29
Bubu,2
Bubujiko spring source,12
Bug,11
Buge,2
Buhongwa Water Supply,2
Bujara water supp,3
Bujuruga Spring b,1
Bukirilo gravity water supply,14
Bukonyo Water Supply,1
Buku,12
Bulale Water Supply,6
Bulamba piped scheme,3
Bulenya water supply,1
Bulong,12
Bumb,3
Bumi,5
Burieni water supply,1
Busambilo Solar Power,1
Busi,10
Busisi Water Project,4
Busulwa,3
Busunzu /Nyankwi gravity water,14
Busunzu /Nyankwi gravity water supply,2
Busunzu/ Nyankwi gravity water,2
Busunzu/ Nyankwi gravity water supply,4
Busunzu/Nyankwi gravity water,1
Butini,2
Buzinza piped scheme,4
Bwak,5
Bwambo Water Supply,8
Bwaw,2
Bwawa,1
Bwisya Water Supply,2
Bwiti gravity water,10
C,2
CDG,8
CDTF,17
CH,1
CONCERN Water Supply,4
CSPD,4
CSPD PROJECT,1
CTU pipe scheme,2
Calvary water supply,2
Care international,9
Center,1
Centra,5
Central basin,28
Ch,15
Chah,10
Chajo Water Supply,1
Chal,14
Chalinze Wate,1
Chalinze wate,405
Cham,36
Chambogo forest,16
Chan,1
Chanama,1
Chang'ombe water supply,12
Changalikwa water su,4
Changwale water supply,6
Chanjare  water supply,2
Chanjare water supply,42
Chankele/Bubango water project,27
Chanyangabwa wate,12
Charles Mushi  Branch line,1
Chas,2
Chawi water supply,5
Chawim,1
Chazi ri,3
Chela pipe scheme,13
Cheleweni Water Supply,3
Chem,13
Chemchem ya Wamweru,1
Chen,5
Chepete water supply,1
Chib,11
Chibula,2
Chid,5
Chienjele,3
Chif,3
Chig,14
Chik,6
Chikola water supply,8
Chikombo water supply,1
Chikuyu water supply,6
Chil,15
Chimbendenga,6
Chin,4
Chiola,10
Chip,11
Chipuputa,2
Chis,11
Chit,2
Chiw,7
Chiwindi,2
Chiz,5
Chog,6
Chol,7
Chongera water su,5
Chovora,27
Chub,1
Chun,4
Churazo gravity water supply,6
Churu water supply,74
Chusuro water sup,1
Coffee curing-Kahe pipeline,18
Coffee-curing pipeline,17
Community,1
D,78
DANIDA,379
DED,16
DMK,1
DMK:Anglican church,1
Dacp Nyambogo,1
Dam,2
Dam piped scheme,1
Damowaso,1
Dara,1
Darida,1
Dasp,1
Deep well,1
Diburuma,18
Digodigo water scheme,6
Digoma r,1
Dihimba water supply,8
Dimamba,32
Dina,2
Dindimo Water Supply,5
Dindimu Water Supply,1
Dingidingi water supply,3
Diocese of Geita,1
Distri,24
Divue ri,6
Doe water supply,3
Dong,2
Donge,12
Dons,1
Doroto water supply,11
Du,26
Dudu,5
E,7
EKTM 2 water  supply,1
EKTM 2 water suply,25
EKTM 2 water supply,9
EKTM 3 water supply,51
ENDAGULDA SPRING,1
ENDAMASAK,6
ENDANANG'WENI SPRING,4
ENDAYAYA WATER SUPPLY,17
Ekenywa pipe scheme,17
Elang'atadapash water proj,14
Elerai water project,5
Emanyata pipelines,1
Embaruway water scheme,6
Embarway water scheme,1
Endagire gravity piped scheme,10
Endawasu,54
Endenoga water scheme,5
Engaranaibor water project,6
FW,20
Fark,4
Fikare water supply,6
Fili,2
FinWater,14
FinWater Borehole Scheme,1
Fingan,1
Fini water,6
Finwater Supply,2
Flood water sustainability project,1
Foki,7
Forforo water supply,1
Fufu,1
Fufulamsuri water supply,1
Fukayosi Wate,6
G,71
GEN Borehole Scheme,54
GRUMETI,8
Ga,36
Gale water supply,31
Gallapo water supply,28
Gallu Water Supply,6
Gamowaso,24
Gawa,11
Gayu,1
Gedamar water supply,11
Gelailumbwa water project,6
Gezaul,5
Goha Kambeni Water Supply,4
Gonjaugu water supply,7
Good management,4
Government,320
Government Borehole Scheme,1
Gumb,6
Gwan,4
Gwang'a Chome water supply,2
Gwang'a chome water supply,8
Gwanumpu Secondary  Pimping water supply,1
Gwanumpu Secondary Pimping water supply,2
Gwarama point  sources water supply,1
Gwarama point source water supply,2
Gwata water supply,5
Gyewasu,47
HESAWA,62
HSW,5
HTM water supply,2
Hakwe water supply,10
Hale water Supply,2
Hale water supply,4
Hale water suppy,1
Halmashauri,1
Hami,4
Hand,3
Handeni Trunk Mai (H,1
Handeni Trunk Main (,4
Handeni Trunk Main(H,152
Handeni Trunk Maini(,1
Handeni water suply,5
Handeni water supply,7
Hane,14
Hasu,1
Haub,2
Hawe,1
Hedaru kati water supply,39
Heivu water supply,12
Heka water supply,1
Hemb,8
Hemerera water supply,5
Hempanga water supply,21
Hesawa,13
Heshivu water supply,1
Hgodin,1
Hingilili,26
Hinju water supply,5
Hivuga Water Supply,1
Hogo,11
Holili water supply,23
Homb,11
Huma,1
Hume,5
Huru materuni water supply,15
Huru mawela water project,30
Huru/mawela water project,1
Husia Dam,16
Huzi,4
I,229
IFAD,5
IKTM 2,1
IKTM 2 water supply,1
IKTM 3 water supply,1
ILOL,2
IRAMBA NAMHULA WATER SCHEME,9
ISANJU WATER SCHEME,1
IWEKULE WATER SUPPLY,17
Ibih,2
Ibiki gravity water scheme,23
Iboja pipe scheme,3
Ibug,2
Ibukoni kimanga water supply,1
Ibumu,5
Iburieni water supply,6
Ibwa,6
Ichemba water supply,2
Ichonde,29
Idegen,18
Idegerimu,1
Idif,6
Idodi,45
Idugal,4
Idukilo water piped scheme,8
Idunda,23
Iduo,16
Ifunda,12
Igalula water supply,6
Igoj,3
Igoma,4
Igoma Water Supply,7
Igongolo gravity water sch,1
Igongolo gravity water sche,38
Igosi,28
Igumbi,10
Igunga,5
Ihale,2
Ihanda spring box,1
Ihanga,6
Ihela,10
Ihongo,6
Ihowanja,7
Ihum,26
Ijak,4
Ijindile,10
Ijndila,1
Ikela Wa,90
Ikelebelo,2
Ikelu pumping scheme,7
Iken,1
Ikete,10
Ikola water suply,1
Ikola water supply,8
Ikom,8
Ikonda,25
Ikondo electrical water sch,24
Ikovo,1
Ikuna gravity water Scheme,5
Ikuna gravity water project,1
Ikungi,1
Ikungu,2
Ikuy,5
Ilala water supply,4
Ilamalamsuka water supply,7
Ilambila water supply,3
Ilas,3
Ilawa,6
Ilente streem,31
Ilesi gravity water supply,18
Ilevel,6
Ilew,2
Ilindi,13
Ilol,2
Ilolangulu water  supply,2
Ilolangulu water supply,18
Ilolo,35
Ilongo water supply,6
Ilorionite water project,9
Ilunda pumping scheme,15
Image,12
Imalampaka water supply,1
Imaleseko water user association,4
Imalinyi supply scheme,1
Imara water supply,2
Imbaseny gravity water supply,1
Imbaseny pumping wate Supply,17
Imbaseny pumping wate supply,6
Imbaseny pumping wate water,2
Imbaseny pumping water supply,4
Imehe,7
Imesela,1
Individuals,1
Iniho,16
Intinka Water Suppy,2
Inyonga water supply,2
Ipal,10
Ipalam,5
Ipande water supply,4
Ipelel,13
Ipepo,18
Ipuli pipes water supply,10
Ipululu water supply,11
Iragua w,4
Irente juu stree,2
Irevea sister water projec,6
Irin,3
Irole,13
Irrigation Scheme,3
Isanga,6
Isapul,10
Iseke,4
Iseke water supply,5
Isikizya water supply,4
Isin,2
Islamic,1
Isongo w,13
Israel Massawe branch line,1
Isuhuni water supply,3
It,39
Itete wa,41
Itigi water supply,11
Itipingi gravity water Sch,1
Itipingi gravity water sche,15
Itis,5
Iton,1
Itoo water supply,1
Itun,8
Itunun,13
Ivalal,16
Ivego,2
Ivigo,19
Ivuga Water Supply,1
Iw,10
Iwil,1
Iwumbu,15
Iyai,8
Iyan,1
Iyani gravity water supply,9
Iyen,8
Iyoka,4
Iyom,5
Izav,11
Izazi,6
Izunya,1
J,59
JAICA,4
JAICA Borehole Scheme,49
JICA,2
JUWAMASU,7
Jadowaso,4
Jaduwaso,1
Jaira borehole,1
Jaira water supply,5
Janda,23
Japan,26
Jema water scheme,5
Jica,1
Jidowaso,11
Jihoro,8
Jihu piped water Scheme,3
Jilimri water supply,1
Jimmy,1
Jipe water supply,5
Jiungeni water supply,3
Jodiwaso,1
Jodowaso,1
JongoJ,1
Jongoj,11
Jongom,1
Jongoo,25
Jumuhiya ya watumia  maji,31
Jumuhiya ya watumia maji,45
Jumuiya ya watumia maji kilema kusini,15
Jumwia ya wa tumia maji Vumamti,1
K,682
KAIBANJA PUMPING SCHEME,1
KARUKEKERE WATER ENVIRONMENT SANITATION SCHEME,16
KASHWASA,8
KATORO PUMPING SCHEME,14
KIBUWA,17
KIIBUWA,1
KINAPA,11
KIUWASSA,16
KKKT,1
KKKT Water Project,1
KKT Mbatakero,2
KSLU07376,3
KWA,1
KWIK PROJECT,2
Ka,1
Kabagendera water,15
Kabaheshi  spring source,3
Kabaheshi pring source,1
Kabaheshi spring source,4
Kabakene spring source,7
Kabali,30
Kabanga,22
Kabare gravity water supply mission,1
Kabindi Water Supply,5
Kabingo/kiobela gravity  water supply,42
Kabondo,11
Kabuye,24
Kadashi Water Supply,8
Kaduma water supply,1
Kaembe Project,1
Kaembe project,1
Kafulo water supp,25
Kag,6
Kagambe,3
Kagango Water Supply,6
Kage,4
Kagenyi water sup,22
Kagongo water project,25
Kagunguli Water Supply,2
Kaguruka Water Supply,12
Kaisho/Isingiro w,74
Kakerele  water s,1
Kakerele water su,7
Kakola,1
Kakonko /Mbizi gravity water supply,9
Kakonko Mbizi gravity water supply,1
Kakonko gravity water supply,1
Kakonko/ Mbizi gravity water supply,5
Kakonko/Mbizi gravity water supply,1
Kakuta spring source,5
Kala,1
Kalalangabo water project,3
Kalambwe RC Mission,7
Kalambwe RC Mission &,1
Kalangalala,14
Kalemela Mwaloni,1
Kalemela Water Supply,17
Kalemela Ziwani,7
Kalemela ziwani,1
Kalenge,16
Kalenge Water Supply,12
Kalenge water project,6
Kalesha water supply,28
Kaliua water supply,6
Kamatech gravity water supply,2
Kamatendeli no 2  spring source,2
Kamatendeli no 2 spring source,5
Kamatendeli spring source,19
Kamb,5
Kambi number 2 water suppl,2
Kambi ya chokaa pipe scheme,9
Kambi ya simba Water supply,4
Kamdawi water supply,8
Kampogonyo water,3
Kamsunzu Water Supply,1
Kamwanga Erikaswa water pr,15
Kamwanga/Erikaswa water pr,1
Kamzunzu Water Supply,2
Kan,40
Kand,16
Kandawale Water supply,5
Kandika water supply,4
Kanenge,22
Kanga  Dam,1
Kanga Dam,8
Kanga water supplied scheme,61
Kani,1
Kanyara,2
Kanza,1
Kanza water supply,5
Kapiti water supply,2
Kapu chini water supply,1
Kapu chini wster supply,1
Karamu Uraki gravity water supply,7
Kariakoo,2
Karongo water sup,3
Kasahunga pipe scheme,1
Kasahunga piped scheme,24
Kasamwa,9
Kasanda solar pumping water supply,7
Kasangezi,64
Kasansa,9
Kaseke water project,20
Kaselya,8
Kaseni water supply,1
Kaserebuka Water Supply,10
Kashanda spring source,5
Kashangu water supply,1
Kashishi Water supply,6
Kashishi water supply,1
Kashutakasimba,19
Kasota,1
Kastamu water supply,8
Kasuguti irrigation scheme,1
Kasurua water supply,8
Kat,5
Katanda Water Sup,13
Katangara Mrere,1
Katazi,3
Katoro,12
Katuka group,10
Kavambughu water supply,5
Kaviwaso,20
Kaviwasu,30
Kayugi spring source,1
Kazaroho water supply,3
Kazilamihunda sub gravity point source water,1
Kazilamihunda sub gravity water supply,3
Kazilankanda Water Supply,47
Kazunguti,4
Kazuramimba water project,17
Keisangura piped Water  Suplly,1
Kelamfua water supply,4
Kele,9
Kenswa,21
Ketumbeine water project,1
Keza water supply,1
Khun,1
Ki,107
Kiamachini water supply,6
Kianama spring source,1
Kib,7
Kiba,15
Kibafuta,1
Kibafutwa Water Supp,1
Kibamba,2
Kibaon,1
Kibara foundation piped scheme,1
Kibena,1
Kibigiri water supply,2
Kibindu water,16
Kibo sterio water supply,1
Kiboelo forest,50
Kibogoizi water s,2
Kibohelo  forest,32
Kibohelo forest,1
Kibohelo streem,20
Kibohola gravity water supply,4
Kibola gravity water supply,18
Kibondo gravity point source water supply,30
Kibonge Water Supply,1
Kibugu,2
Kibuye gravity water supply,7
Kichananga gravity water supply,5
Kidaba,8
Kidabu,16
Kidahwe water project,24
Kide,3
Kidege forest,20
Kidia kIlemapunda,4
Kidia kilemapunda,86
Kido,8
Kidogozero wa,4
Kidope,10
Kidu,7
Kifaru Water Supply,1
Kifaru water Supply,27
Kifaru/kituri,1
Kifaru/kituri Water supply,2
Kifaru/kituri water supply,2
Kifufu road water supply,1
Kifumangao Water supply,1
Kifumbe pumping scheme,9
Kifungilo,8
Kifunikoni water supply,1
Kifura gravity water supply,16
Kigaga gravity water supply,15
Kigogo gravity water supply,16
Kigondo,1
Kigongoi gravity wat,36
Kigonigoni Water Supply,2
Kigonigoni Water supply,4
Kigonigoni water supply,1
Kiguza Water Supply,2
Kigw,16
Kigwa B water supply,2
Kigwa water supply,2
Kihanga Water  Su,8
Kihimika water supply,1
Kihinda water sup,9
Kiholo,16
Kihoro,34
Kiindogolo,4
Kijiji,161
Kijijini water supply,5
Kijyom,16
Kikelelwa water supply,17
Kiko,12
Kikole water supply,1
Kikololomu gravity water supply,9
Kikoremru,10
Kiku,6
Kikundi,11
Kilangangua water su,2
Kilanj,3
Kilembela water project,6
Kileo Water Supply,6
Kilesi water supply,6
Kilimahewa water supply,4
Kilimani water scheme,1
Kilimarondo,7
Kilimatinde water supply,20
Kilimb,1
Kilimi and Uchama dam,1
Kilimi and uchama dam,21
Kilotweni water supply,33
Kilumb,8
Kima,1
Kimanda,8
Kimani,14
Kimara Water Supply,2
Kimarare,5
Kimasaki gravity water supply,44
Kimele,10
Kimokouwa water project,13
Kimosonu gravity water supply,13
Kimuli  water sup,2
Kimuli water supp,3
Kimundo gravity water supply,12
Kina,3
Kinaduma  water supply,1
Kinambeu water supply,6
Kindoi streem,21
Kindoroko  water supply,10
Kindoroko water supply,48
King,8
Kino,13
Kinu,7
Kiny,10
Kinyang`a streem,2
Kinyang`ga stree,4
Kinyik,5
Kinyinya gravity water supply,18
Kionwa spring,2
Kipara,4
Kiparang'anda B Water Supply,2
Kiparang'anda Water Supply,6
Kipatimu water supply,1
Kipumbwi water suppl,13
Kiracha water supply,1
Kirachi water supply,1
Kiraeni water supply,2
Kiranjeranje  Water supply,1
Kiranjeranje Water supply,4
Kiranyi pipe line,16
Kiremeta water supply,3
Kiro,18
Kirokomu water supply,1
Kiromba water supply,4
Kirongwe water supply,1
Kiroriko water supply,11
Kirua kahe gravity water supply trust,193
Kirua kahe pumping water trust,113
Kirwa  water suply,1
Kirwa  water supply,7
Kirwa Keni water supply,4
Kirwa i water supply,1
Kirwa water supply,1
Kisa,1
Kisaika  pipeline,6
Kisaika pipeline,2
Kisale Kitale B water suply,1
Kisale Kitale B water supply,2
Kisale Kitale water supply,5
Kisamisi water scheme,1
Kisangilo pipelines,4
Kisangilo water scheme,5
Kisanja water supply,14
Kise,22
Kishiha,11
Kishoju Water  Su,19
Kishoju Water sup,3
Kishuro water sup,4
Kisi,6
Kisiki water supply,2
Kisimiri Juu gravity water supply,3
Kisimiri gravity water supply,22
Kiso,3
Kisogwe,1
Kisogwe /Mkugwa gravity water supply,5
Kisogwe /Mkugwa gravity water supply supply,2
Kisogwe/ Mkugwa gravity water supply,4
Kisuma,26
Kisumba water supply,11
Kisungule,1
Kit,55
Kitangwi Water Supply,1
Kitanu water supply,3
Kitanuwater supply,1
Kitarakakifua water supply,1
Kite,18
Kitend,8
Kitere water supply,13
Kitogoto Water Supply,6
Kitomanga,1
Kitomanga Water Supply,5
Kitopeni,18
Kitowo,9
Kitukuni water supply,11
Kitula,2
Kitumb,6
Kitumbeine water project,25
Kitunguli water supply,5
Kitwechembogo Water Supply,11
Kiumba water supply,10
Kiurio Bendera water supply,1
Kiverenge water supply,9
Kivitu gravity water scheme,7
Kiwa,2
Kiwala,4
Kiwangwa wate,7
Kiwawa gravity water supply,9
Kiwawa water supply,4
Kiwele,27
Kiyanga water supply,3
Kizara water supply,2
Kizi,4
Kizimba forest,1
Kizingu,28
Kizota,1
Kkkt,2
Kole,9
Kolo,10
Komaka mandaka,74
Komolo pipe scheme,14
Kong,5
Kong`hoi,18
Kongei water supply,24
Koronani Borehole,5
Kubi,1
